 ,Label,Area,Mean,X,Y
1,img4.plate.jpeg,0,140,419.375,363.875
2,img4.plate.jpeg,0,136,417.375,363.875
3,img4.plate.jpeg,0,143,428.500,372.500
4,img4.plate.jpeg,0,143,431,372.375
5,img4.plate.jpeg,0,134,443.125,372.750
6,img4.plate.jpeg,0,146,444.875,372
7,img4.plate.jpeg,0,151,447.750,372.125
8,img4.plate.jpeg,0,151,454.125,374.500
9,img4.plate.jpeg,0,152,457.875,373.250
10,img4.plate.jpeg,0,138,458.875,365.375
11,img4.plate.jpeg,0,140,459.750,363.750
12,img4.plate.jpeg,0,156,445.250,357.875
13,img4.plate.jpeg,0,171,601.125,355.375
14,img4.plate.jpeg,0,169,609.375,355.375
15,img4.plate.jpeg,0,159,609.500,359.250
16,img4.plate.jpeg,0,161,622,358.625
17,img4.plate.jpeg,0,165,630.625,361.375
18,img4.plate.jpeg,0,156,634.500,360.250
19,img4.plate.jpeg,0,158,665.875,349
20,img4.plate.jpeg,0,178,668.500,348.125
21,img4.plate.jpeg,0,160,670.125,347.625
22,img4.plate.jpeg,0,157,676,353
23,img4.plate.jpeg,0,163,683.625,352.750
24,img4.plate.jpeg,0,158,699.625,348.375
25,img4.plate.jpeg,0,156,700.125,351.500
26,img4.plate.jpeg,0,159,706.875,357.250
27,img4.plate.jpeg,0,154,707.750,356
28,img4.plate.jpeg,0,140,728.625,355.625
29,img4.plate.jpeg,0,159,730.375,355.500
30,img4.plate.jpeg,0,164,732.750,355.750
31,img4.plate.jpeg,0,163,745.875,350.375
32,img4.plate.jpeg,0,155,750.625,351.125
33,img4.plate.jpeg,0,177,752.875,350.875
34,img4.plate.jpeg,0,172,790.500,348.500
35,img4.plate.jpeg,0,153,789.625,346.500
36,img4.plate.jpeg,0,160,807.500,343.375
37,img4.plate.jpeg,0,167,810.375,343.500
38,img4.plate.jpeg,0,170,813.500,343.750
39,img4.plate.jpeg,0,175,816.375,343.875
40,img4.plate.jpeg,0,167,820.625,343.625
41,img4.plate.jpeg,0,158,841.375,347.125
42,img4.plate.jpeg,0,164,845.625,347.750
43,img4.plate.jpeg,0,135,867.625,351.625
44,img4.plate.jpeg,0,157,871,351.625
45,img4.plate.jpeg,0,155,872.500,350.875
46,img4.plate.jpeg,0,159,874,350.750
47,img4.plate.jpeg,0,154,1010.125,343
48,img4.plate.jpeg,0,157,1012.125,342.125
49,img4.plate.jpeg,0,155,1036.500,340.625
50,img4.plate.jpeg,0,159,1039,347.375
51,img4.plate.jpeg,0,167,1040.750,346.750
52,img4.plate.jpeg,0,176,1042.750,345.500
53,img4.plate.jpeg,0,169,1043.750,343.625
54,img4.plate.jpeg,0,150,1136.375,340.500
55,img4.plate.jpeg,0,150,1142,340
56,img4.plate.jpeg,0,155,1327.625,338
57,img4.plate.jpeg,0,165,1338,336.250
58,img4.plate.jpeg,0,178,1817,325.375
59,img4.plate.jpeg,0,179,1827.125,326
60,img4.plate.jpeg,0,142,2041.250,329.250
61,img4.plate.jpeg,0,160,2042.875,329.500
62,img4.plate.jpeg,0,174,2046.500,328.750
63,img4.plate.jpeg,0,174,2049.375,328.500
64,img4.plate.jpeg,0,178,2053.125,328.375
65,img4.plate.jpeg,0,156,2158,328.750
66,img4.plate.jpeg,0,164,2159.625,329
67,img4.plate.jpeg,0,171,2163.875,329.375
68,img4.plate.jpeg,0,164,2168.750,329.250
69,img4.plate.jpeg,0,168,2172.500,329.750
70,img4.plate.jpeg,0,173,2226.750,329.500
71,img4.plate.jpeg,0,186,2228.500,327.750
72,img4.plate.jpeg,0,186,2231.750,328
73,img4.plate.jpeg,0,193,2235.250,328
74,img4.plate.jpeg,0,188,2238.500,327.750
75,img4.plate.jpeg,0,189,2240.750,327.750
76,img4.plate.jpeg,0,156,2330.625,324
77,img4.plate.jpeg,0,174,2342.500,325.750
78,img4.plate.jpeg,0,168,2332.625,315
79,img4.plate.jpeg,0,187,2451.375,320
80,img4.plate.jpeg,0,178,2461.500,319.750
81,img4.plate.jpeg,0,169,2464.500,317.875
82,img4.plate.jpeg,0,171,2637.500,743.375
83,img4.plate.jpeg,0,168,2644,742.625
84,img4.plate.jpeg,0,173,2644,741.750
85,img4.plate.jpeg,0,169,2642.125,739.750
86,img4.plate.jpeg,0,169,2640,739.250
87,img4.plate.jpeg,0,173,2635.750,742.875
88,img4.plate.jpeg,0,162,2631.750,742
89,img4.plate.jpeg,0,163,2630.750,742.500
90,img4.plate.jpeg,0,179,2486.500,743
91,img4.plate.jpeg,0,178,2488.500,742.125
92,img4.plate.jpeg,0,173,2490.750,752
93,img4.plate.jpeg,0,172,2492.750,753.375
94,img4.plate.jpeg,0,173,2493.500,751.375
95,img4.plate.jpeg,0,166,2492.875,750
96,img4.plate.jpeg,0,168,2497.875,749
97,img4.plate.jpeg,0,166,2498.625,748.875
98,img4.plate.jpeg,0,167,2445.875,758.625
99,img4.plate.jpeg,0,166,2440,756.875
100,img4.plate.jpeg,0,147,2435.750,757.625
101,img4.plate.jpeg,0,164,2429.625,758.125
102,img4.plate.jpeg,0,153,2424.875,758.375
103,img4.plate.jpeg,0,158,2424,759.125
104,img4.plate.jpeg,0,168,2423,760.250
105,img4.plate.jpeg,0,168,2427.875,744.750
106,img4.plate.jpeg,0,194,2423.250,744.500
107,img4.plate.jpeg,0,168,2419.875,744.500
108,img4.plate.jpeg,0,189,2416.625,741.625
109,img4.plate.jpeg,0,179,2420.125,739.125
110,img4.plate.jpeg,0,182,2421.250,738.375
111,img4.plate.jpeg,0,183,2426.375,738.375
112,img4.plate.jpeg,0,181,2428.625,738.625
113,img4.plate.jpeg,0,192,2428.375,740.625
114,img4.plate.jpeg,0,169,2426.625,743.125
115,img4.plate.jpeg,0,188,2425.750,742.625
116,img4.plate.jpeg,0,191,2423.625,742
117,img4.plate.jpeg,0,197,2403.750,745.250
118,img4.plate.jpeg,0,192,2400,745
119,img4.plate.jpeg,0,185,2394.750,744.625
120,img4.plate.jpeg,0,185,2391.375,745.125
121,img4.plate.jpeg,0,191,2389.250,745
122,img4.plate.jpeg,0,187,2386.250,744.500
123,img4.plate.jpeg,0,186,2384.625,744.250
124,img4.plate.jpeg,0,168,2364.625,743.250
125,img4.plate.jpeg,0,190,2362.875,740.750
126,img4.plate.jpeg,0,195,2360.125,740.875
127,img4.plate.jpeg,0,190,2354.750,740
128,img4.plate.jpeg,0,160,2355.875,738.125
129,img4.plate.jpeg,0,177,2359.875,734.500
130,img4.plate.jpeg,0,177,2366,734.375
131,img4.plate.jpeg,0,182,2369.875,736.250
132,img4.plate.jpeg,0,180,2373.125,739.375
133,img4.plate.jpeg,0,177,2374.625,739.375
134,img4.plate.jpeg,0,206,2303,749.375
135,img4.plate.jpeg,0,192,2296.500,750.500
136,img4.plate.jpeg,0,193,2294.125,749.500
137,img4.plate.jpeg,0,182,2287.500,747.375
