 ,Label,Area,Mean,X,Y
1,img3.plate.jpeg,0,119,3027.333,1761.333
2,img3.plate.jpeg,0,125,3024.333,1760.333
3,img3.plate.jpeg,0,128,3017.333,1759
4,img3.plate.jpeg,0,138,3009.667,1760.333
5,img3.plate.jpeg,0,145,3007.333,1761
6,img3.plate.jpeg,0,133,3003,1761
7,img3.plate.jpeg,0,139,2998,1762
8,img3.plate.jpeg,0,135,2994.333,1762
9,img3.plate.jpeg,0,128,2857,1761.333
10,img3.plate.jpeg,0,121,2858.333,1757.333
11,img3.plate.jpeg,0,141,2836.333,1760.667
12,img3.plate.jpeg,0,135,2833.667,1761
13,img3.plate.jpeg,0,130,2829.667,1761.667
14,img3.plate.jpeg,0,135,2616,1774.333
15,img3.plate.jpeg,0,115,2612.333,1775.667
16,img3.plate.jpeg,0,125,2609.667,1776
17,img3.plate.jpeg,0,109,2607.667,1776.333
18,img3.plate.jpeg,0,109,2604,1777.333
19,img3.plate.jpeg,0,134,1624.667,1799
20,img3.plate.jpeg,0,162,1617.667,1842
21,img3.plate.jpeg,0,145,1629,1843.667
22,img3.plate.jpeg,0,135,1674,1818.667
23,img3.plate.jpeg,0,155,1671.333,1807.333
24,img3.plate.jpeg,0,154,1668.667,1808.667
25,img3.plate.jpeg,0,139,1369.333,1816
26,img3.plate.jpeg,0,121,1017.667,1806.667
27,img3.plate.jpeg,0,139,2487,262.667
28,img3.plate.jpeg,0,138,2484,263.667
29,img3.plate.jpeg,0,139,2441.333,269.667
30,img3.plate.jpeg,0,134,2436.333,270
31,img3.plate.jpeg,0,137,2432,270.667
32,img3.plate.jpeg,0,139,2425.333,271
33,img3.plate.jpeg,0,138,2417,270
34,img3.plate.jpeg,0,133,2412.667,273
35,img3.plate.jpeg,0,138,2409.667,273
36,img3.plate.jpeg,0,149,2434,280
37,img3.plate.jpeg,0,137,2249.667,291.667
38,img3.plate.jpeg,0,148,1265,289.333
39,img3.plate.jpeg,0,156,1258.667,288.333
40,img3.plate.jpeg,0,135,1124.667,305.667
41,Red,0,138,1116.667,306
42,img3.plate.jpeg,0,71,3027.333,1761.333
43,img3.plate.jpeg,0,79,3024.333,1760.333
44,img3.plate.jpeg,0,91,3017.333,1759
45,img3.plate.jpeg,0,75,3009.667,1760.333
46,img3.plate.jpeg,0,81,3007.333,1761
47,img3.plate.jpeg,0,68,3003,1761
48,img3.plate.jpeg,0,75,2998,1762
49,img3.plate.jpeg,0,79,2994.333,1762
50,img3.plate.jpeg,0,82,2857,1761.333
51,img3.plate.jpeg,0,75,2858.333,1757.333
52,img3.plate.jpeg,0,107,2836.333,1760.667
53,img3.plate.jpeg,0,82,2833.667,1761
54,img3.plate.jpeg,0,91,2829.667,1761.667
55,img3.plate.jpeg,0,81,2616,1774.333
