 ,Label,Area,Mean,X,Y
1,img1.plate.jpeg,0,121,1635,305
2,img1.plate.jpeg,0,125,1655,301
3,img1.plate.jpeg,0,125,1697,277
4,img1.plate.jpeg,0,123,1702,267
5,img1.plate.jpeg,0,127,1657,265
6,img1.plate.jpeg,0,65,1634,245
7,img1.plate.jpeg,0,66,1620,252
8,img1.plate.jpeg,0,45,1632,271
9,img1.plate.jpeg,0,127,1632,292
10,img1.plate.jpeg,0,61,1594,297
11,img1.plate.jpeg,0,88,1404,292
12,img1.plate.jpeg,0,65,1271,298
13,img1.plate.jpeg,0,53,1132,300
14,img1.plate.jpeg,0,70,711,265
15,img1.plate.jpeg,0,58,490,238
16,img1.plate.jpeg,0,54,314,308
17,img1.plate.jpeg,0,69,237,342
18,img1.plate.jpeg,0,80,301,354
19,img1.plate.jpeg,0,97,331,328
20,img1.plate.jpeg,0,55,399,324
21,img1.plate.jpeg,0,32,409,313
22,img1.plate.jpeg,0,49,391,299
23,img1.plate.jpeg,0,55,307,299
24,img1.plate.jpeg,0,69,254,309
25,img1.plate.jpeg,0,67,299,339
26,img1.plate.jpeg,0,58,307,332
27,img1.plate.jpeg,0,79,248,365
28,img1.plate.jpeg,0,81,229,427
29,img1.plate.jpeg,0,58,181,581
30,img1.plate.jpeg,0,53,188,606
31,img1.plate.jpeg,0,60,201,607
32,img1.plate.jpeg,0,63,208,585
33,img1.plate.jpeg,0,61,216,580
34,img1.plate.jpeg,0,60,246,584
35,img1.plate.jpeg,0,67,282,585
36,img1.plate.jpeg,0,62,321,588
37,img1.plate.jpeg,0,66,352,590
38,img1.plate.jpeg,0,58,417,591
39,img1.plate.jpeg,0,72,476,588
40,img1.plate.jpeg,0,72,624,585
41,img1.plate.jpeg,0,105,773,581
42,img1.plate.jpeg,0,76,932,596
43,img1.plate.jpeg,0,91,1134,605
44,img1.plate.jpeg,0,91,1318,615
45,img1.plate.jpeg,0,75,1398,619
46,img1.plate.jpeg,0,100,1461,622
47,img1.plate.jpeg,0,109,1485,636
48,img1.plate.jpeg,0,129,1468,646
49,img1.plate.jpeg,0,126,1458,646
50,img1.plate.jpeg,0,125,1448,652
51,img1.plate.jpeg,0,124,1428,656
52,img1.plate.jpeg,0,126,1420,655
53,img1.plate.jpeg,0,103,1393,652
54,img1.plate.jpeg,0,65,1338,646
55,img1.plate.jpeg,0,80,1159,636
56,img1.plate.jpeg,0,88,1078,637
57,img1.plate.jpeg,0,84,1002,625
58,img1.plate.jpeg,0,74,390,837
59,img1.plate.jpeg,0,61,361,872
60,img1.plate.jpeg,0,69,405,888
61,img1.plate.jpeg,0,73,507,896
62,img1.plate.jpeg,0,74,656,897
63,img1.plate.jpeg,0,81,785,884
64,img1.plate.jpeg,0,81,973,867
65,img1.plate.jpeg,0,94,1109,848
66,img1.plate.jpeg,0,81,1261,836
67,img1.plate.jpeg,0,71,1343,817
68,img1.plate.jpeg,0,53,1381,807
69,img1.plate.jpeg,0,127,1414,795
70,img1.plate.jpeg,0,129,1414,789
71,img1.plate.jpeg,0,127,1337,778
72,img1.plate.jpeg,0,118,1284,786
73,img1.plate.jpeg,0,95,1292,791
74,img1.plate.jpeg,0,128,1344,775
75,img1.plate.jpeg,0,130,1352,771
76,img1.plate.jpeg,0,127,1372,767
77,img1.plate.jpeg,0,50,1416,811
78,img1.plate.jpeg,0,89,1437,885
79,img1.plate.jpeg,0,83,1431,932
80,img1.plate.jpeg,0,70,1428,986
81,img1.plate.jpeg,0,125,1422,1000
82,img1.plate.jpeg,0,121,1381,1008
83,img1.plate.jpeg,0,96,1278,1005
84,img1.plate.jpeg,0,122,1218,995
85,img1.plate.jpeg,0,87,1115,982
86,img1.plate.jpeg,0,93,1007,968
87,img1.plate.jpeg,0,81,871,958
88,img1.plate.jpeg,0,110,809,950
89,img1.plate.jpeg,0,74,753,948
90,img1.plate.jpeg,0,81,717,948
91,img1.plate.jpeg,0,100,670,950
92,img1.plate.jpeg,0,65,593,954
93,img1.plate.jpeg,0,68,515,957
94,img1.plate.jpeg,0,66,469,974
95,img1.plate.jpeg,0,61,348,1017
96,img1.plate.jpeg,0,54,341,1019
97,img1.plate.jpeg,0,41,264,1080
98,img1.plate.jpeg,0,69,189,1076
99,img1.plate.jpeg,0,64,241,1107
100,img1.plate.jpeg,0,36,256,1114
101,img1.plate.jpeg,0,77,278,1129
102,img1.plate.jpeg,0,72,336,1147
103,img1.plate.jpeg,0,68,509,1170
104,img1.plate.jpeg,0,79,579,1179
105,img1.plate.jpeg,0,75,700,1181
106,img1.plate.jpeg,0,86,853,1187
107,img1.plate.jpeg,0,77,1157,1179
108,img1.plate.jpeg,0,66,1431,1154
109,img1.plate.jpeg,0,125,1515,1131
110,img1.plate.jpeg,0,118,1558,1123
111,img1.plate.jpeg,0,42,1572,1109
112,img1.plate.jpeg,0,128,1520,1105
113,img1.plate.jpeg,0,125,1425,1107
114,img1.plate.jpeg,0,70,1319,1144
115,img1.plate.jpeg,0,78,1361,1179
116,img1.plate.jpeg,0,75,1463,1180
117,img1.plate.jpeg,0,85,1519,1182
118,img1.plate.jpeg,0,73,1611,1181
119,img1.plate.jpeg,0,72,1742,1168
120,img1.plate.jpeg,0,132,2959,821
121,img1.plate.jpeg,0,128,2966,820
122,img1.plate.jpeg,0,129,2982,817
123,img1.plate.jpeg,0,131,3015,811
124,img1.plate.jpeg,0,129,3037,814
125,img1.plate.jpeg,0,62,3129,824
126,img1.plate.jpeg,0,62,3164,882
127,img1.plate.jpeg,0,79,3171,952
128,img1.plate.jpeg,0,67,3124,1038
129,img1.plate.jpeg,0,131,3050,1170
130,img1.plate.jpeg,0,59,3015,1219
131,img1.plate.jpeg,0,127,2994,1232
132,img1.plate.jpeg,0,129,3043,1176
133,img1.plate.jpeg,0,133,3056,1139
134,img1.plate.jpeg,0,132,3048,1097
135,img1.plate.jpeg,0,140,3035,1048
136,img1.plate.jpeg,0,130,2997,1006
137,img1.plate.jpeg,0,58,2908,1102
138,img1.plate.jpeg,0,122,2886,1164
139,img1.plate.jpeg,0,61,2858,1222
140,img1.plate.jpeg,0,35,2860,1285
141,img1.plate.jpeg,0,121,2867,1338
142,img1.plate.jpeg,0,121,2886,1389
143,img1.plate.jpeg,0,114,2900,1400
144,img1.plate.jpeg,0,124,2896,1414
145,img1.plate.jpeg,0,128,2932,1398
146,img1.plate.jpeg,0,128,3071,1376
147,img1.plate.jpeg,0,129,3084,1374
148,img1.plate.jpeg,0,130,3093,1362
149,img1.plate.jpeg,0,94,3045,1332
150,img1.plate.jpeg,0,53,3045,1273
151,img1.plate.jpeg,0,119,3098,1280
152,img1.plate.jpeg,0,141,3095,1314
153,img1.plate.jpeg,0,140,3096,1321
154,img1.plate.jpeg,0,133,3089,1335
155,img1.plate.jpeg,0,54,3054,1318
156,img1.plate.jpeg,0,124,2983,1275
157,img1.plate.jpeg,0,134,2938,1125
158,img1.plate.jpeg,0,127,2954,1001
159,img1.plate.jpeg,0,130,2986,905
160,img1.plate.jpeg,0,131,3027,830
161,img1.plate.jpeg,0,74,3030,35
162,img1.plate.jpeg,0,140,3043,65
163,img1.plate.jpeg,0,55,3043,95
164,img1.plate.jpeg,0,216,3048,117
165,img1.plate.jpeg,0,124,3031,121
166,img1.plate.jpeg,0,206,2998,107
167,img1.plate.jpeg,0,88,2972,117
168,img1.plate.jpeg,0,63,2924,133
169,img1.plate.jpeg,0,69,2899,107
170,img1.plate.jpeg,0,69,2852,123
171,img1.plate.jpeg,0,58,2792,102
172,img1.plate.jpeg,0,59,2769,103
173,img1.plate.jpeg,0,161,2758,114
174,img1.plate.jpeg,0,55,2725,103
175,img1.plate.jpeg,0,76,2678,108
176,img1.plate.jpeg,0,108,2629,105
177,img1.plate.jpeg,0,143,2606,107
178,img1.plate.jpeg,0,100,2609,99
179,img1.plate.jpeg,0,60,2922,84
180,img1.plate.jpeg,0,59,3084,78
181,img1.plate.jpeg,0,194,3201,108
182,img1.plate.jpeg,0,186,3159,116
183,img1.plate.jpeg,0,95,3166,124
184,img1.plate.jpeg,0,64,3150,146
185,img1.plate.jpeg,0,60,3152,131
186,img1.plate.jpeg,0,61,3144,106
187,img1.plate.jpeg,0,82,3149,95
188,img1.plate.jpeg,0,60,3126,88
189,img1.plate.jpeg,0,64,3109,161
190,img1.plate.jpeg,0,57,3001,346
191,img1.plate.jpeg,0,70,2921,590
192,img1.plate.jpeg,0,54,3046,731
193,img1.plate.jpeg,0,58,3095,666
194,img1.plate.jpeg,0,59,3051,708
195,img1.plate.jpeg,0,65,3081,782
196,img1.plate.jpeg,0,60,3100,808
197,img1.plate.jpeg,0,131,3037,853
198,img1.plate.jpeg,0,65,2948,1919
199,img1.plate.jpeg,0,83,2841,1970
200,img1.plate.jpeg,0,221,2668,2024
201,img1.plate.jpeg,0,233,2336,2067
202,img1.plate.jpeg,0,230,2197,2013
203,img1.plate.jpeg,0,230,2214,2007
204,img1.plate.jpeg,0,234,2389,2005
205,img1.plate.jpeg,0,160,2598,2028
