 ,Label,Area,Mean,X,Y
1,img3.plate.jpeg,0,115,2860.667,913.667
2,img3.plate.jpeg,0,248,2915.333,872.333
3,img3.plate.jpeg,0,243,2960.667,899
4,img3.plate.jpeg,0,244,3008.667,929.667
5,img3.plate.jpeg,0,249,3042,940.333
6,img3.plate.jpeg,0,125,3064.667,931
7,img3.plate.jpeg,0,97,3071.333,909.667
8,img3.plate.jpeg,0,126,3055.333,913.667
9,img3.plate.jpeg,0,245,3050,964.333
10,img3.plate.jpeg,0,240,3043.333,1027
11,img3.plate.jpeg,0,224,3006,1213.667
12,img3.plate.jpeg,0,244,3008.667,1328.333
13,img3.plate.jpeg,0,237,2996.667,1363
14,img3.plate.jpeg,0,197,3000.667,1376.333
15,img3.plate.jpeg,0,245,2932.667,1379
16,img3.plate.jpeg,0,250,2939.333,1395
17,img3.plate.jpeg,0,84,2876.667,1384.333
18,img3.plate.jpeg,0,77,2888.667,1348.333
19,img3.plate.jpeg,0,65,2896.667,1321.667
20,img3.plate.jpeg,0,77,2891.333,1289.667
21,img3.plate.jpeg,0,69,2894,1253.667
22,img3.plate.jpeg,0,56,2891.333,1229.667
23,img3.plate.jpeg,0,69,2883.333,1195
24,img3.plate.jpeg,0,59,2875.333,1153.667
25,img3.plate.jpeg,0,57,2872.667,1109.667
26,img3.plate.jpeg,0,238,2879.333,1064.333
27,img3.plate.jpeg,0,241,2878,1043
28,img3.plate.jpeg,0,254,2878,999
29,img3.plate.jpeg,0,222,2867.333,952.333
30,img3.plate.jpeg,0,254,2867.333,884.333
31,img3.plate.jpeg,0,255,2868.667,804.333
32,img3.plate.jpeg,0,89,2810,837.667
33,img3.plate.jpeg,0,244,2867.333,747
34,img3.plate.jpeg,0,74,2832.667,785.667
35,img3.plate.jpeg,0,84,2792.667,872.333
36,img3.plate.jpeg,0,81,2640.667,937.667
37,img3.plate.jpeg,0,82,2534,848.333
38,img3.plate.jpeg,0,83,2840.667,827
39,img3.plate.jpeg,0,83,2756.667,872.333
40,img3.plate.jpeg,0,68,2852.667,1007
41,img3.plate.jpeg,0,168,2883.333,1123
42,img3.plate.jpeg,0,92,2850,1457.667
43,img3.plate.jpeg,0,75,2911.333,1576.333
44,img3.plate.jpeg,0,78,2948.667,1608.333
45,img3.plate.jpeg,0,72,3004.667,1699
46,img3.plate.jpeg,0,83,2830,1552.333
47,img3.plate.jpeg,0,83,2663.333,1585.667
48,img3.plate.jpeg,0,125,2298,1696.333
49,img3.plate.jpeg,0,121,2206,1736.333
50,img3.plate.jpeg,0,106,2219.333,1717.667
51,img3.plate.jpeg,0,131,2235.333,1696.333
52,img3.plate.jpeg,0,131,2242,1689.667
53,img3.plate.jpeg,0,114,2250,1707
54,img3.plate.jpeg,0,129,2299.333,1725.667
55,img3.plate.jpeg,0,55,2334,1737.667
56,img3.plate.jpeg,0,92,2019.333,1667
57,img3.plate.jpeg,0,111,1715.333,1579
58,img3.plate.jpeg,0,80,1656.667,1551
59,img3.plate.jpeg,0,136,1595.333,1532.333
60,img3.plate.jpeg,0,147,1578,1533.667
61,img3.plate.jpeg,0,132,1566,1555
62,img3.plate.jpeg,0,123,1556.667,1569.667
63,img3.plate.jpeg,0,79,1539.333,1592.333
64,img3.plate.jpeg,0,124,1515.333,1591
65,img3.plate.jpeg,0,134,1496.667,1599
66,img3.plate.jpeg,0,128,1487.333,1616.333
67,img3.plate.jpeg,0,129,1470,1623
